gvkey,datadate,fyear,indfmt,datafmt,tic,conm,curcd,at,ceq,dlc,dltt,ebitda,fincf,ivncf,oancf
001209,20120930,2012,INDL,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,16941.8000,6477.2000,707.7000,4584.2000,2330.4000,-78.4000,-1669.8000,1798.7000
001209,20130930,2013,INDL,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,17850.1000,7042.1000,1217.3000,5056.3000,2415.3000,115.4000,-1698.2000,1567.4000
001209,20140930,2014,INDL,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,17779.1000,7365.8000,1294.0000,4824.5000,2560.6000,-661.4000,-1628.2000,2187.1000
001209,20150930,2015,INDL,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,17438.1000,7249.0000,1929.9000,3949.1000,2806.7000,-945.4000,-1599.7000,2437.8000
001209,20160930,2016,INDL,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,18055.3000,7079.6000,1307.1000,4918.1000,3066.3000,-271.1000,-1069.0000,2627.5000
001209,20170930,2017,INDL,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,18467.2000,10086.2000,560.4000,3402.4000,2526.6000,-1971.4000,2332.9000,1567.9000
001230,19981231,1998,INDL,STD,ALK,ALASKA AIR GROUP INC,USD,1731.8000,789.5000,27.2000,171.5000,325.5000,363.1000,-746.5000,310.2000
001230,19991231,1999,INDL,STD,ALK,ALASKA AIR GROUP INC,USD,2180.1000,930.7000,66.5000,337.0000,335.7000,240.9000,-467.9000,330.1000
001230,20001231,2000,INDL,STD,ALK,ALASKA AIR GROUP INC,USD,2630.0000,862.3000,66.7000,609.2000,174.2000,273.6000,-570.0000,265.0000
001230,20011231,2001,INDL,STD,ALK,ALASKA AIR GROUP INC,USD,2950.5000,851.3000,43.2000,852.2000,96.4000,321.1000,-218.2000,286.5000
001230,20021231,2002,INDL,STD,ALK,ALASKA AIR GROUP INC,USD,2880.7000,655.7000,48.6000,856.7000,105.9000,15.1000,-361.4000,124.5000
001230,20031231,2003,INDL,STD,ALK,ALASKA AIR GROUP INC,USD,3259.2000,674.2000,206.7000,906.9000,193.3000,206.8000,-638.1000,355.2000
001230,20041231,2004,INDL,STD,ALK,ALASKA AIR GROUP INC,USD,3335.0000,664.8000,53.4000,989.6000,212.3000,-106.9000,-365.7000,334.0000
001230,20051231,2005,INDL,STD,ALK,ALASKA AIR GROUP INC,USD,3792.0000,827.6000,113.5000,969.1000,151.7000,254.8000,-481.1000,271.9000
001230,20061231,2006,INDL,STD,ALK,ALASKA AIR GROUP INC,USD,4077.1000,885.5000,119.1000,1031.7000,284.5000,240.3000,-533.0000,449.8000
001230,20071231,2007,INDL,STD,ALK,ALASKA AIR GROUP INC,USD,4490.9000,1024.0000,175.9000,1124.6000,403.5000,93.4000,-601.8000,482.0000
001230,20081231,2008,INDL,STD,ALK,ALASKA AIR GROUP INC,USD,4835.6000,661.9000,244.9000,1596.3000,74.2000,495.8000,-581.3000,164.3000
001230,20091231,2009,INDL,STD,ALK,ALASKA AIR GROUP INC,USD,4985.0000,872.1000,156.0000,1699.2000,531.2000,233.2000,-657.4000,305.3000
001230,20101231,2010,INDL,STD,ALK,ALASKA AIR GROUP INC,USD,5016.6000,1105.4000,221.2000,1313.0000,715.3000,-333.2000,-295.2000,553.7000
001230,20111231,2011,INDL,STD,ALK,ALASKA AIR GROUP INC,USD,5195.0000,1173.2000,207.9000,1099.0000,734.7000,-280.0000,-403.3000,696.0000
001230,20121231,2012,INDL,STD,ALK,ALASKA AIR GROUP INC,USD,5505.0000,1421.0000,161.0000,871.0000,796.0000,-88.0000,-645.0000,753.0000
001230,20131231,2013,INDL,STD,ALK,ALASKA AIR GROUP INC,USD,5838.0000,2029.0000,117.0000,754.0000,916.0000,-325.0000,-698.0000,981.0000
001230,20141231,2014,INDL,STD,ALK,ALASKA AIR GROUP INC,USD,6181.0000,2127.0000,117.0000,686.0000,1226.0000,-462.0000,-541.0000,1030.0000
001230,20151231,2015,INDL,STD,ALK,ALASKA AIR GROUP INC,USD,6533.0000,2411.0000,115.0000,571.0000,1650.0000,-688.0000,-930.0000,1584.0000
001230,20161231,2016,INDL,STD,ALK,ALASKA AIR GROUP INC,USD,9962.0000,2931.0000,319.0000,2645.0000,1829.0000,1491.0000,-2622.0000,1386.0000
001230,20171231,2017,INDL,STD,ALK,ALASKA AIR GROUP INC,USD,10740.0000,3721.0000,307.0000,2262.0000,1750.0000,-592.0000,-1132.0000,1590.0000
001279,19981231,1998,INDL,STD,AYE,ALLEGHENY ENERGY INC,USD,6747.7930,2033.8890,258.8370,2179.2880,878.2330,-365.9830,-234.0140,591.1820
001279,19991231,1999,INDL,STD,AYE,ALLEGHENY ENERGY INC,USD,6852.4410,1695.3250,830.8290,2254.4630,896.5440,-59.5960,-510.2390,618.2600
001279,20001231,2000,INDL,STD,AYE,ALLEGHENY ENERGY INC,USD,7697.0170,1740.6810,882.4130,2559.5100,968.9570,50.0220,-631.2020,533.2170
001279,20011231,2001,INDL,STD,AYE,ALLEGHENY ENERGY INC,USD,11167.5520,2709.9690,1591.7820,3235.7300,1261.6370,1822.5060,-2137.0250,334.4780
001279,20021231,2002,INDL,STD,AYE,ALLEGHENY ENERGY INC,USD,10600.2790,1931.5070,5051.3670,154.9980,-190.5880,219.2160,-378.0250,325.0600
001279,20031231,2003,INDL,STD,AYE,ALLEGHENY ENERGY INC,USD,10171.8960,1515.8590,598.4530,5159.9200,156.9490,500.5340,-546.2190,370.0660
001279,20041231,2004,INDL,STD,AYE,ALLEGHENY ENERGY INC,USD,9045.1400,1353.8160,385.1420,4564.5520,805.5290,-597.5760,-248.2650,506.7110
001279,20051231,2005,INDL,STD,AYE,ALLEGHENY ENERGY INC,USD,8558.8120,1695.2950,477.2170,3640.9100,874.1880,-604.8790,191.4890,486.1200
001279,20061231,2006,INDL,STD,AYE,ALLEGHENY ENERGY INC,USD,8552.4460,2080.3950,201.1890,3409.9930,1005.4540,-507.3340,-403.8440,763.1040
001279,20071231,2007,INDL,STD,AYE,ALLEGHENY ENERGY INC,USD,9906.5890,2535.3520,105.3670,3982.7120,1094.3020,421.0190,-1231.4660,955.0590
001279,20081231,2008,INDL,STD,AYE,ALLEGHENY ENERGY INC,USD,10811.0480,2850.7480,93.8480,4155.4320,1083.4170,64.2420,-822.2610,861.4140
001279,20091231,2009,INDL,STD,AYE,ALLEGHENY ENERGY INC,USD,11589.1000,3113.2000,140.8000,4417.0000,1201.9000,209.7000,-1084.8000,799.6000
001279,20101231,2010,INDL,STD,AYE,ALLEGHENY ENERGY INC,USD,12075.8000,3441.7000,15.5000,4686.0000,1250.3000,13.2000,-625.6000,816.0000
001300,19981231,1998,INDL,STD,HON,HONEYWELL INTERNATIONAL INC,USD,15560.0000,5297.0000,2011.0000,1476.0000,2571.0000,-15.0000,-1079.0000,1195.0000
001300,19991231,1999,INDL,STD,HON,HONEYWELL INTERNATIONAL INC,USD,23527.0000,8599.0000,2609.0000,2457.0000,4152.0000,-1110.0000,-291.0000,2374.0000
001300,20001231,2000,INDL,STD,HON,HONEYWELL INTERNATIONAL INC,USD,25175.0000,9707.0000,1682.0000,3941.0000,4624.0000,-70.0000,-2714.0000,1989.0000
001300,20011231,2001,INDL,STD,HON,HONEYWELL INTERNATIONAL INC,USD,24226.0000,9170.0000,539.0000,4731.0000,3471.0000,-893.0000,-906.0000,1996.0000
001300,20021231,2002,INDL,STD,HON,HONEYWELL INTERNATIONAL INC,USD,27559.0000,8925.0000,370.0000,4719.0000,3238.0000,-882.0000,-870.0000,2380.0000
001300,20031231,2003,INDL,STD,HON,HONEYWELL INTERNATIONAL INC,USD,29344.0000,10729.0000,199.0000,4961.0000,2855.0000,-895.0000,-680.0000,2199.0000
