"","Year","name","MC.1000","sep"
"153",2017,"AMRC",142.7788525,-0.119998908544277
"154",2018,"AMRC",193.182783333333,0.563635780915984
"155",2010,"AMRC",359.792435833333,0.639535207006991
"156",2011,"XRIT",302.320282083333,1.09633132969179
"157",2012,"XRIT",390.5457775,0.0153165421468979
"158",2010,"XRIT",410.75719,0.702058849829899
"159",2011,"AKRX",307.337060833333,2.39106482738936
"160",2012,"AKRX",712.869835833333,0.831957722592383
"161",2013,"AKRX",1244.18104416667,0.201438494696579
"162",2014,"AKRX",1655.68343583333,0.842815345106576
"163",2015,"AKRX",3362.6667075,0.470350909615161
"164",2016,"AKRX",4743.00836958333,0.030660976205557
"165",2017,"AKRX",3231.396365,-0.41490243775719
"166",2018,"AKRX",3758.09200333333,0.47641004205851
"167",2010,"AKRX",1847.89724333333,-0.89481847221725
"168",2011,"TECD",2006.96993583333,-0.0565809120695554
"169",2012,"TECD",2164.07989666667,0.122445035089007
"170",2013,"TECD",1922.79843891667,-0.0785279610194877
"171",2014,"TECD",1896.89884333333,0.133316887777629
"172",2015,"TECD",2328.89000833333,0.225386283194363
"173",2016,"TECD",2253.24372,0.049818324322761
"174",2017,"TECD",2665.65952666667,0.275686005286202
"175",2018,"TECD",3610.3078525,0.156941150864705
"176",2010,"TECD",3186.29530666667,-0.164947834786229
"177",2011,"RGEN",111.402395,0.141120565082582
"178",2012,"RGEN",116.8526325,-0.26012764645225
"179",2013,"RGEN",156.342171666667,0.809803569634395
"180",2014,"RGEN",302.7697875,1.1719722721323
"181",2015,"RGEN",619.455685,0.451610724855159
"182",2016,"RGEN",1038.12746333333,0.428790158040892
"183",2017,"RGEN",935.42828,0.0894298752916445
"184",2018,"RGEN",1403.22448916667,0.177155832482143
"185",2010,"RGEN",2056.94741333333,0.453692698120513
"186",2011,"AT",876.410608,0.486478880150192
"187",2012,"AT",1129.66408333333,0.0441736329074365
"188",2013,"AT",1603.22493666667,-0.130533699541095
"189",2014,"AT",646.1386025,-0.641878153372834
"190",2015,"AT",361.095084166667,-0.150419570282258
"191",2016,"AT",307.556929166667,-0.244692601935068
"192",2017,"AT",286.37709,0.269036671142002
"193",2018,"AT",279.85585,-0.0600000859646976
"194",2010,"AT",242.953178333333,-0.0765949448297036
"195",2010,"LSBX",73.1904021818182,1.36975660255621
"196",2011,"FUND",126.879783966667,0.195891867704528
"197",2012,"FUND",147.546806425,-0.117208895318203
"198",2013,"FUND",136.821892233333,0.122053021516775
"199",2014,"FUND",153.086137333333,0.219965275241141
"200",2015,"FUND",174.908929775,0.00600700611518645
"201",2016,"FUND",151.844466666667,-0.146733075626307
"202",2017,"FUND",150.43110265,0.270938428970327
"203",2018,"FUND",187.504608333333,0.220410713825421
"204",2010,"FUND",189.43625,-0.192619863319546
"205",2011,"BWC",2736.90252,0.490960418323425
"206",2012,"BWC",3130.54156666667,-0.0566605753955903
"207",2013,"BWC",2990.01825833333,0.0887845172754531
"208",2014,"BWC",3403.81369416667,0.319791537759373
"209",2015,"BWC",3422.86986583333,-0.102247049846727
"210",2016,"BWXT",3178.95330083333,0.490699648029659
"211",2017,"BWXT",3699.99034833333,0.261971250818204
"212",2018,"BWXT",5201.74852916667,0.535787434097183
"213",2010,"BWXT",5957.70310833333,-0.360973554862701
"214",2011,"CIS",254.500304,5.92556868954215
"215",2012,"CIS",157.129405,-0.880852721829546
"216",2013,"CIS",28.2104058333333,-0.649122352509508
"217",2014,"CIS",23.6882966666667,0.999999686550045
"218",2010,"CIS",26.865995,0.126164870325606
"219",2011,"FO",7408.2354875,0.416834456770641
"220",2012,"BEAM",9036.98573166667,0.0981076976068853
"221",2013,"BEAM",9167.12394666667,0.209573620497007
"222",2014,"BEAM",10398.2729125,0.129862639176622
"223",2010,"BEAM",13745.271035,0.859701967247707
"224",2011,"ESBK",33.19273875,0.141096787065901
"225",2012,"ESBK",33.2691693583333,0.0351997245428948
"226",2013,"ESBK",42.971155275,0.522916164138127
"227",2014,"ESBK",56.8535274,0.265373683749646
"228",2015,"ESBK",61.6592619166667,-0.050605225249065
"229",2016,"ESBK",54.2184138333333,-0.0948684718702628
"230",2017,"ESBK",52.9660706,0.0780597369579998
"231",2018,"ESBK",66.3746252833333,0.0454171088882394
"232",2010,"ESBK",69.437982425,-0.0612326362582128
"233",2011,"BWINB",286.370659166667,0.0510355507100742
"234",2012,"BWINB",279.2087025,-0.0324524377386305
"235",2013,"BWINB",278.083951666667,0.145295345863816
"236",2014,"BWINB",308.710723333333,0.1924923710292
"237",2015,"BWINB",316.745695,-0.019045697297432
"238",2016,"BWINB",285.75982,-0.026720953544884
"239",2017,"BWINB",311.14335,0.0933051688388706
"240",2018,"BWINB",295.112679166667,-0.00504418587402777
"241",2010,"PTVCB",277.339653333333,-0.26960417059863
"242",2011,"INDB",510.81636,0.335073298566503
"243",2012,"INDB",567.754941666667,0.0394535529249542
"244",2013,"INDB",623.401834166667,0.0916384913660653
"245",2014,"INDB",795.551585833333,0.385272942426332
"246",2015,"INDB",908.989101666666,0.12157801310898
"247",2016,"INDB",1168.22667583333,0.111541560158986
"248",2017,"INDB",1373.89884333333,0.54819674182177
"249",2018,"INDB",1847.7328625,0.0100457906958777
"250",2010,"INDB",2139.58185916667,0.027034461351986
"251",2011,"DMC",68.015585,1.19999934603855
"252",2012,"DSS",65.7287825,-0.526901697913372
"253",2013,"DSS",69.9182541666667,-0.149018618996826
"254",2014,"DSS",62.0564583333333,-0.0460833424996947
"255",2015,"DSS",52.8234621833333,-0.782608565063673
"256",2016,"DSS",12.1922560833333,-0.620888765367365
"257",2017,"DSS",8.96589733333333,-0.0240331577016306
"258",2018,"DSS",14.0350007666667,1.70270141397801
"259",2010,"DSS",20.0334063666667,-0.592999855711122
"260",2011,"TSTF",3.646726675,-0.331249704637015
"261",2012,"TSTF",7.85816721666667,2.53271182037119
"262",2013,"DLHC",10.008017325,-0.624338757296471
"263",2014,"DLHC",10.0725540166667,1.15492771285086
"264",2015,"DLHC",20.8635569333333,0.313725944250605
"265",2016,"DLHC",24.755349075,1.08955097577044
"266",2017,"DLHC",48.849035,0.434538535823891
"267",2018,"DLHC",66.6877653416667,0.0370375891468546
"268",2010,"DLHC",65.8244025,-0.245128272377269
"269",2011,"CLDX",162.939233333333,-0.117772522695983
"270",2012,"CLDX",129.93224625,-0.368931274131854
"271",2013,"CLDX",308.956980833333,1.58076916495413
"272",2014,"CLDX",1508.183075,2.60804398713686
"273",2015,"CLDX",1608.074375,-0.246180238461696
"274",2016,"CLDX",2014.00583416667,-0.140820735435181
"275",2017,"CLDX",462.921043333333,-0.774234710397955
"276",2018,"CLDX",373.81013,-0.197738641607032
"277",2010,"CLDX",138.849249016667,-0.930316734834652
"278",2011,"SIGM",352.36343,0.324299414316234
"279",2012,"SIGM",307.655309166667,-0.576570772033473
"280",2013,"SIGM",198.594407266667,-0.141534338435531
"281",2014,"SIGM",172.896741666667,-0.0836370165767523
"282",2015,"SIGM",160.217655833333,0.567797626154722
"283",2016,"SIGM",301.897598333333,-0.145947292010788
"284",2017,"SIGM",258.2635225,-0.050632421539706
